epoch,accuracy,f1,loss,precision,recall,specificity,val_accuracy,val_f1,val_loss,val_precision,val_recall,val_specificity
1,0.77507323,0.775802732,0.720741868,0.818408251,0.740020812,0.984096646,0.878645837,0.87844044,0.310696304,0.896974742,0.861458361,0.990104258
2,0.871461093,0.870739341,0.379760623,0.892168045,0.85097456,0.989712954,0.949479163,0.952460349,0.138368458,0.958864272,0.946354151,0.995937765
3,0.902505696,0.902002156,0.287499875,0.917250454,0.887707889,0.991987109,0.951562524,0.952082038,0.136178195,0.95641458,0.947916687,0.995677173
4,0.917670012,0.919122577,0.243849576,0.930119455,0.908718824,0.993172288,0.957291663,0.958877921,0.116942436,0.964330256,0.953645825,0.99645865
5,0.925675213,0.924534142,0.226159468,0.934870422,0.914721966,0.99365145,0.953125,0.952609837,0.149110898,0.956447005,0.948958337,0.995677233
6,0.93465668,0.934461415,0.197390884,0.943443596,0.925909519,0.994450092,0.961979151,0.962581873,0.116778158,0.966463923,0.958854139,0.996666968
7,0.941034794,0.94110173,0.176509589,0.949332178,0.933251023,0.995015085,0.974479139,0.975123703,0.073876761,0.977956951,0.972395837,0.997812629
8,0.939798236,0.940255642,0.176674068,0.947686195,0.933186054,0.994846046,0.932291687,0.932215691,0.195289865,0.935932934,0.928645849,0.993645966
9,0.943768322,0.944142282,0.164546788,0.951079965,0.9375,0.995173693,0.965624988,0.964202225,0.110429041,0.966513216,0.961979151,0.996666849
10,0.943377793,0.944277883,0.166897863,0.951515079,0.937370062,0.995225608,0.979166687,0.979100466,0.071764112,0.981182814,0.977083325,0.998125255
11,0.955418169,0.955477476,0.13110742,0.96095401,0.950233877,0.996141911,0.980729163,0.9795627,0.061883073,0.98267585,0.9765625,0.998281479
12,0.961601019,0.962642908,0.106125921,0.967618465,0.957874179,0.996795714,0.981249988,0.979612589,0.059635293,0.982258081,0.977083325,0.998229384
13,0.965310752,0.965423763,0.105475143,0.969005883,0.961993217,0.996928215,0.985937476,0.984879315,0.051819377,0.985937476,0.983854175,0.998593926
14,0.965506017,0.965905845,0.099573232,0.970186651,0.96179831,0.997044444,0.987500012,0.987466931,0.043965083,0.988508105,0.986458361,0.998854339
15,0.968695104,0.96854502,0.094760709,0.972142398,0.965085745,0.997237384,0.987500012,0.986706376,0.045758065,0.987500012,0.985937476,0.99875015
16,0.96810931,0.967973232,0.099260762,0.972358167,0.963786364,0.997259259,0.986458361,0.986185491,0.047153234,0.986979187,0.985416651,0.998698115
17,0.966417193,0.966131091,0.096025035,0.969836056,0.962590992,0.99701649,0.982291639,0.983043969,0.053096831,0.983820617,0.982291639,0.998385608
18,0.967653751,0.967234015,0.092432462,0.970576048,0.964020312,0.997078538,0.985416651,0.985119045,0.046125397,0.98588717,0.984375,0.998593926
19,0.967849016,0.967874467,0.095381543,0.971033454,0.964825869,0.997120738,0.988020837,0.987491727,0.040005509,0.988020837,0.986979187,0.998802245
20,0.972534955,0.972445548,0.082018062,0.975542903,0.96946466,0.997571349,0.987500012,0.986954391,0.044723663,0.988004029,0.985937476,0.998802245
21,0.974031866,0.974439025,0.078251034,0.977602839,0.971387684,0.997776806,0.985937476,0.986168981,0.04481212,0.98694557,0.985416651,0.998698175
22,0.971493661,0.971562147,0.082902268,0.974280179,0.968944907,0.99744159,0.985937476,0.98538363,0.046539422,0.98588711,0.984895825,0.998593926
23,0.974422395,0.974406958,0.074353501,0.977314472,0.971608639,0.997746587,0.985416651,0.986177266,0.046352133,0.986962378,0.985416651,0.998698115
24,0.973706484,0.973944306,0.078219034,0.976505935,0.971478701,0.997662663,0.985937476,0.986698091,0.044845659,0.987483203,0.985937476,0.998750091
